Crop Stage,Region,Crop Disease,Temp (°C),Humidity (%),Soil Moisture (%),Rainfall (mm),Soil pH,Cause,Organic Cure,Inorganic Cure
Vegetative Growth,Bhandara,Gray Leaf Spot,31.6,79.5,23.1,166.9,6.2,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Silking,Aurangabad,Smut,28.6,51.9,36.1,113.5,6.03,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Vegetative Growth,Ahmednagar,Leaf Blight,26.3,58.5,34.4,138.9,5.46,Fungal infection due to high humidity,Use neem oil spray weekly,Apply Mancozeb fungicide
Tasseling,Kolhapur,Smut,23.4,84.1,36.7,287.9,5.5,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Germination & Emergence,Sindhudurg,Leaf Spot,27.4,78.3,38.3,265.4,5.17,Bacterial infection from contaminated soil,Rotate crops and maintain spacing,Apply Copper oxychloride
Germination & Emergence,Sindhudurg,Gray Leaf Spot,31.3,89.5,12.9,170.7,7.33,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Tasseling,Hingoli,Healthy,32.2,53.9,32.5,126.9,6.1,Optimal growing conditions and good management,Maintain balanced fertilization and irrigation,No treatment required
Maturation & Harvest,Akola,Rust,36.5,43.9,31.8,69.8,7.31,Fungal spores spread by wind,Use resistant hybrid varieties,Apply Propiconazole fungicide
Vegetative Growth,Buldhana,Leaf Spot,31.7,61,17,182.7,5.32,Bacterial infection from contaminated soil,Rotate crops and maintain spacing,Apply Copper oxychloride
Seedling Stage,Nanded,Smut,31.8,67,28.9,106.6,5.93,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Silking,Dhule,Healthy,28.4,58.1,12.7,102.2,6.56,Optimal growing conditions and good management,Maintain balanced fertilization and irrigation,No treatment required
Seedling Stage,Marathwada,Downy Mildew,32.8,51.4,13,70.8,6.99,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Vegetative Growth,Kolhapur,Smut,24.7,79.8,32,260.7,7.19,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Seedling Stage,Dhule,Gray Leaf Spot,30.7,77.4,18.2,130.3,6.09,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Seedling Stage,Mumbai City,Gray Leaf Spot,25.7,82.1,21.5,87,6.55,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Tasseling,Yavatmal,Rust,35,56.3,15.7,80.9,5.89,Fungal spores spread by wind,Use resistant hybrid varieties,Apply Propiconazole fungicide
Maturation & Harvest,Dhule,Rust,28.2,66.9,28.2,172.7,6.65,Fungal spores spread by wind,Use resistant hybrid varieties,Apply Propiconazole fungicide
Tasseling,Ratnagiri,Downy Mildew,30.3,83.3,30.5,205.8,5.25,Moist soil and cool nights,Ensure proper field drainage,Spray Metalaxyl-based fungicide
Grain Filling,Mumbai City,Rust,32,65,22.2,98.5,7.26,Fungal spores spread by wind,Use resistant hybrid varieties,Apply Propiconazole fungicide
Vegetative Growth,Chandrapur,Leaf Spot,30.8,79.9,22.8,122.4,5.11,Bacterial infection from contaminated soil,Rotate crops and maintain spacing,Apply Copper oxychloride
Silking,Sindhudurg,Gray Leaf Spot,28.3,85.7,39.5,239,6.71,High leaf wetness and poor air circulation,Use bio-control Trichoderma,Spray Azoxystrobin fungicide
Tasseling,Yavatmal,Leaf Spot,30.7,61.2,23.1,69.8,5.62,Bacterial infection from contaminated soil,Rotate crops and maintain spacing,Apply Copper oxychloride
Tasseling,Nagpur,Smut,37.6,57.6,19.9,61.8,5.45,Soil-borne fungal pathogen,Remove infected ears early,Apply Carbendazim treatment
Seedling Stage,Aurangabad,Leaf Spot,29.1,70.1,34.7,102,5.82,Bacterial infection from contaminated soil,Rotate crops and maintain spacing,Apply Copper oxychloride
Grain Filling,Ahmednagar,Leaf Spot,27.5,60.9,34.1,97,7.37,Bacterial infection from contaminated soil,Rotate crops and maintain spacing,Apply Copper oxychloride
